376 32
231 84
950 18
621 19
309 44
470 17
247 42
546 18
160 37
75 18
59 85
1004 98
612 72
918 33
294 45
931 95
712 61
155 51
951 25
296 27
633 72
202 37
824 4
943 74
846 29
37 79
321 66
809 2
632 67
654 1
862 39
398 95
166 94
390 46
425 36
574 33
213 41
547 78
19 4
840 89
47 75
741 1
553 34
730 91
809 51
386 52
21 2
746 62
740 38
956 92
377 31
287 94
250 21
188 9
500 21
700 1
367 80
537 81
604 38
767 48
740 46
23 80
342 52
457 25
57 90
767 34
26 46
202 44
655 92
106 64
555 40
308 88
528 6
685 11
877 41
626 14
373 14
860 26
107 46
649 71
395 44
794 54
408 65
631 44
387 83
463 85
458 73
64 71
323 16
906 91
61 27
113 36
1014 7
18 42
324 51
934 11
938 39
376 92
156 82
439 39
1020 4
28 15
978 81
386 13
113 42
506 88
1014 62
942 70
868 10
61 69
868 5
97 30
476 62
484 51
386 13
455 78
584 10
453 29
795 49
692 67
53 15
987 29
927 99
989 77
399 31
137 85
476 78
630 41
357 31
837 51
8 61
990 40
807 84
836 13
473 81
677 57
125 34
497 3
145 70
332 34
618 71
341 61
141 53
70 45
609 24
562 69
350 9
813 71
558 15
419 25
531 17
700 66
881 45
205 33
512 77
786 24
350 89
955 43
593 31
369 28
34 66
593 63
647 17
618 85
1024 12
452 56
619 72
861 66
519 9
987 19
967 52
99 64
509 26
111 15
823 30
589 26
319 14
940 100
482 50
485 20
486 52
998 55
267 23
837 45
782 78
532 28
152 8
335 7
695 74
449 63
459 59
536 5
604 7
117 78
771 91
691 61
60 51
518 71
781 15
1018 34
518 11
997 43
162 22
979 22
338 78
76 97
346 96
307 8
543 16
480 56
955 91
804 36
237 19
120 76
966 83
272 3
317 74
69 91
437 11
833 99
727 79
583 48
96 48
608 52
301 28
803 37
774 43
990 58
191 29
28 13
937 32
631 84
978 53
422 58
1004 51
351 47
259 39
389 79
108 33
871 64
427 27
12 18
527 31
673 65
214 4
6 37
286 70
296 2
744 21
946 43
222 3
501 57
500 17
581 12
734 26
208 2
45 69
612 23
378 27
98 33
246 9
208 57
125 20
391 31
582 82
359 74
330 36
890 43
65 59
64 54
681 55
459 97
242 31
227 64
731 61
347 95
910 24
968 34
281 34
419 89
462 40
856 22
993 36
807 26
624 31
558 17
830 87
114 12
1009 57
443 57
966 26
589 24
485 36
693 4
47 91
437 25
384 29
327 75
483 86
904 64
940 9
2 71
898 17
319 34
312 81
787 41
814 2
532 68
359 85
189 45
113 9
414 15
864 81
783 42
497 78
832 57
747 66
282 68
132 89
478 93
664 93
387 39
105 57
88 20
59 83
606 62
531 65
282 50
960 78
1012 91
463 74
180 67
891 65
134 59
527 19
321 49
400 89
263 100
1004 56
606 12
938 38
72 39
276 19
324 9
326 6
311 34
246 47
281 64
902 3
919 19
309 34
397 6
201 17
287 17
282 23
550 86
658 29
277 19
358 60
373 15
833 51
259 94
747 65
444 11
683 3
218 77
820 38
824 69
952 12
765 4
521 38
535 5
588 80
353 22
635 18
405 74
661 47
1001 68
999 16
314 27
965 93
295 65
619 14
750 33
998 98
957 56
305 2
476 94
975 88
445 62
692 25
889 57
971 64
745 55
58 91
561 89
549 87
943 6
443 33
677 12
235 5
482 5
156 35
440 88
366 9
450 64
510 87
32 72
48 11
677 26
1009 76
931 85
365 100
291 100
887 67
600 93
613 8
7 37
908 28
742 88
657 81
974 83
680 72
36 1
854 30
950 62
117 94
110 88
533 45
649 39
621 26
470 71
339 12
476 50
696 90
4 97
891 31
120 62
774 66
584 30
254 92
290 47
16 28
969 25
293 89
819 28
413 4
1009 27
695 42
268 13
762 53
449 37
343 90
399 58
882 68
154 18
526 29
48 58
367 39
599 55
19 58
670 92
254 83
885 81
645 100
502 59
488 30
985 68
554 39
845 57
55 32
822 6
689 33
70 93
90 45
641 7
116 98
126 38
428 97
553 14
306 22
426 13
136 10
949 24
644 64
988 39
602 71
454 57
6 92
234 67
56 88
203 26
806 4
189 57
191 37
713 59
376 67
809 89
824 18
610 77
