10000  	0.000004    0.000004
20000	0.000004    0.000004
30000	0.000004    0.000005
40000	0.000004    0.000005
50000	0.000004    0.000005
60000	0.000004    0.000005
70000	0.000005    0.000005
80000	0.000005    0.000005
90000	0.000005    0.000005
100000	0.000005    0.000005
110000	0.000004    0.000005
120000	0.000004    0.000005
130000	0.000006    0.000005
140000	0.000005    0.000007
150000	0.000005    0.000006
160000	0.000005    0.000006
170000	0.000005    0.000006
180000	0.000006    0.000006
190000	0.000005    0.000006
200000	0.000006    0.000007
